271,3458A,2022-01-07_17:16:12,1.0000016070,22.38,38.31
272,3457A,2022-01-07_17:16:12,1.0000053000,22.38,38.31
273,3458A,2022-01-07_17:16:13,1.0000022950,22.37,38.30
274,3457A,2022-01-07_17:16:13,1.0000049000,22.37,38.30
275,3458A,2022-01-07_17:16:16,1.0000027340,22.41,38.27
276,3457A,2022-01-07_17:16:16,1.0000058000,22.41,38.27
277,3458A,2022-01-07_17:16:18,1.0000021190,22.38,38.28
278,3457A,2022-01-07_17:16:18,1.0000046000,22.38,38.28
279,3458A,2022-01-07_17:16:20,1.0000024120,22.38,38.24
280,3457A,2022-01-07_17:16:20,1.0000053000,22.38,38.24
281,3458A,2022-01-07_17:16:21,1.0000022950,22.4,38.23
282,3457A,2022-01-07_17:16:21,1.0000049000,22.4,38.23
283,3458A,2022-01-07_17:16:24,1.0000024120,22.38,38.23
284,3457A,2022-01-07_17:16:24,1.0000061000,22.38,38.23
285,3458A,2022-01-07_17:16:26,1.0000019580,22.38,38.23
286,3457A,2022-01-07_17:16:26,1.0000047000,22.38,38.23
287,3458A,2022-01-07_17:16:27,1.0000017680,22.41,38.22
288,3457A,2022-01-07_17:16:27,1.0000047000,22.41,38.22
289,3458A,2022-01-07_17:16:30,1.0000026600,22.37,38.22
290,3457A,2022-01-07_17:16:30,1.0000049000,22.37,38.22
291,3458A,2022-01-07_17:16:32,1.0000019440,22.38,38.23
292,3457A,2022-01-07_17:16:32,1.0000052000,22.38,38.23
293,3458A,2022-01-07_17:16:34,1.0000024120,22.37,38.19
294,3457A,2022-01-07_17:16:34,1.0000049000,22.37,38.19
295,3458A,2022-01-07_17:16:35,1.0000025430,22.35,38.18
296,3457A,2022-01-07_17:16:35,1.0000052000,22.35,38.18
297,3458A,2022-01-07_17:16:38,1.0000028070,22.35,38.19
298,3457A,2022-01-07_17:16:38,1.0000036000,22.35,38.19
299,3458A,2022-01-07_17:16:40,1.0000022070,22.35,38.22
300,3457A,2022-01-07_17:16:40,1.0000053000,22.35,38.22
301,3458A,2022-01-07_17:16:41,1.0000028070,22.37,38.18
302,3457A,2022-01-07_17:16:41,1.0000052000,22.37,38.18
303,3458A,2022-01-07_17:16:43,1.0000024560,22.37,38.20
304,3457A,2022-01-07_17:16:43,1.0000049000,22.37,38.20
305,3458A,2022-01-07_17:16:46,1.0000023090,22.38,38.19
306,3457A,2022-01-07_17:16:46,1.0000054000,22.38,38.19
307,3458A,2022-01-07_17:16:48,1.0000023530,22.35,38.24
308,3457A,2022-01-07_17:16:48,1.0000053000,22.35,38.24
309,3458A,2022-01-07_17:16:49,1.0000022650,22.34,38.23
310,3457A,2022-01-07_17:16:49,1.0000037000,22.34,38.23
311,3458A,2022-01-07_17:16:52,1.0000023390,22.35,38.23
312,3457A,2022-01-07_17:16:52,1.0000053000,22.35,38.23
313,3458A,2022-01-07_17:16:54,1.0000022510,22.32,38.24
314,3457A,2022-01-07_17:16:54,1.0000062000,22.32,38.24
315,3458A,2022-01-07_17:16:56,1.0000024120,22.35,38.23
316,3457A,2022-01-07_17:16:56,1.0000047000,22.35,38.23
317,3458A,2022-01-07_17:16:57,1.0000026020,22.35,38.20
